duration_s,duration_hr,duration_label,strategy,mean_carbon_g,std_carbon_g,baseline_g,pct_difference
5,0.001388888888888889,5s,operational_only,0.089526,,0.089526,0.0
5,0.001388888888888889,5s,embodied_prioritized,0.1029,,0.089526,14.938677032370498
5,0.001388888888888889,5s,balanced,0.089526,,0.089526,0.0
15,0.004166666666666667,15s,operational_only,0.268577,,0.268577,0.0
15,0.004166666666666667,15s,embodied_prioritized,0.3087,,0.268577,14.939104986651857
15,0.004166666666666667,15s,balanced,0.268577,,0.268577,0.0
30,0.008333333333333333,30s,operational_only,0.477831,,0.477831,0.0
30,0.008333333333333333,30s,embodied_prioritized,0.6174,,0.477831,29.20886254763712
30,0.008333333333333333,30s,balanced,0.537154,,0.477831,12.415058880650275
60,0.016666666666666666,1min,operational_only,0.955661,,0.955661,0.0
60,0.016666666666666666,1min,embodied_prioritized,1.069144,,0.955661,11.874817534669733
60,0.016666666666666666,1min,balanced,0.955661,,0.955661,0.0
300,0.08333333333333333,5min,operational_only,4.778307,,4.778307,0.0
300,0.08333333333333333,5min,embodied_prioritized,5.345722,,4.778307,11.874812564366428
300,0.08333333333333333,5min,balanced,4.778307,,4.778307,0.0
600,0.16666666666666666,10min,operational_only,9.556615,,9.556615,0.0
600,0.16666666666666666,10min,embodied_prioritized,10.691442999999998,,9.556615,11.874790393878973
600,0.16666666666666666,10min,balanced,9.556615,,9.556615,0.0
1800,0.5,30min,operational_only,28.669845,,28.669845,0.0
1800,0.5,30min,embodied_prioritized,32.07433000000001,,28.669845,11.874793881864418
1800,0.5,30min,balanced,28.669845,,28.669845,0.0
3600,1.0,1.0hr,operational_only,57.339689,,57.339689,0.0
3600,1.0,1.0hr,embodied_prioritized,64.14866000000002,,57.339689,11.874795832952671
3600,1.0,1.0hr,balanced,57.339689,,57.339689,0.0
