region,ci_value,strategy,operational_g,embodied_g,total_mean_g,pct_vs_baseline,t_statistic,p_value,significant
Eastern,813,operational_only,268.87536,54.20944558521562,323.08480558521563,0.0,0.0,1.0,False
Eastern,813,embodied_prioritized,375.41088,12.04654346338125,387.45742346338113,19.9243717950663,-1.5975244679614126e+16,0.0,True
Eastern,813,balanced,329.75280000000004,30.11635865845312,359.8691586584531,11.385355311466471,-9128711245493796.0,0.0,True
Northern,535,operational_only,176.93519999999992,54.20944558521562,231.14464558521559,0.0,0.0,1.0,False
Northern,535,embodied_prioritized,247.04159999999996,12.04654346338125,259.0881434633812,12.089182428352524,-6934691030476006.0,0.0,True
Northern,535,balanced,216.99600000000007,30.11635865845312,247.11235865845316,6.90810424477291,-7925361177686908.0,0.0,True
Southern,607,operational_only,200.74704000000003,54.20944558521562,254.95648558521555,0.0,0.0,1.0,False
Southern,607,embodied_prioritized,280.2883200000001,12.04654346338125,292.3348634633812,14.660689173044194,-9276129385648494.0,0.0,True
Southern,607,balanced,246.19920000000002,30.11635865845312,276.3155586584531,8.377536670310972,-3748122281003346.5,0.0,True
Western,712,operational_only,235.47263999999998,54.20944558521562,289.68208558521565,0.0,0.0,1.0,False
Western,712,embodied_prioritized,328.77312,12.04654346338125,340.8196634633813,17.652999761741402,-1.269072698694167e+16,0.0,True
Western,712,balanced,288.7871999999999,30.11635865845312,318.90355865845316,10.087428435280804,-7251843992538099.0,0.0,True
