region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Eastern,medium,2.5,0.00593,0.000646,0.006575,120,True,615.7,0.5,93.6,task_000000,balanced,api_request,0.30868455322645505,2025-11-09T09:04:38.057975
Eastern,medium,2.5,0.009536,0.001038,0.010574,120,True,615.7,0.5,93.6,task_000001,balanced,api_request,0.496406630836728,2025-11-09T09:07:31.838610
Northern,medium,2.5,0.98879,0.125485,1.114275,70,True,528.2,0.5,93.6,task_000002,balanced,ml_inference,60.0,2025-11-09T09:08:17.548267
Eastern,medium,2.5,0.005722,0.000623,0.006345,120,True,615.7,0.5,93.6,task_000003,balanced,api_request,0.2978542058889822,2025-11-09T09:10:53.432398
Eastern,medium,2.5,0.051653,0.005624,0.057277,120,True,615.7,0.5,93.6,task_000004,balanced,data_processing,2.688897654185569,2025-11-09T09:13:26.251953
Eastern,medium,2.5,0.014417,0.00157,0.015987,120,True,615.7,0.5,93.6,task_000005,balanced,api_request,0.7504997535760622,2025-11-09T09:15:53.101247
Northern,medium,2.5,3.859943,0.489855,4.349799,70,True,528.2,0.5,93.6,task_000006,balanced,scheduled_job,234.22213399708528,2025-11-09T09:17:26.172260
Northern,medium,2.5,5.527918,0.701534,6.229452,70,True,528.2,0.5,93.6,task_000007,balanced,scheduled_job,335.4351875348905,2025-11-09T09:17:27.234929
Eastern,medium,2.5,0.002036,0.000222,0.002258,120,True,615.7,0.5,93.6,task_000008,balanced,api_request,0.10600288599708563,2025-11-09T09:26:15.295143
Eastern,medium,2.5,0.235263,0.025614,0.260877,120,True,615.7,0.5,93.6,task_000009,balanced,ml_inference,12.247004567450363,2025-11-09T09:27:38.212718
Northern,medium,2.5,6.90656,0.876494,7.783053,70,True,528.2,0.5,93.6,task_000010,balanced,batch_analytics,419.0914381421423,2025-11-09T09:30:09.644633
Eastern,medium,2.5,0.002606,0.000284,0.002889,120,True,615.7,0.5,93.6,task_000011,balanced,api_request,0.1356491085108486,2025-11-09T09:34:02.373834
Eastern,medium,2.5,0.521699,0.056798,0.578497,120,True,615.7,0.5,93.6,task_000012,balanced,data_processing,27.157887227474504,2025-11-09T09:34:50.168400
Eastern,medium,2.5,0.349126,0.03801,0.387136,120,True,615.7,0.5,93.6,task_000013,balanced,data_processing,18.17433325513897,2025-11-09T09:36:55.474486
Eastern,medium,2.5,0.003949,0.00043,0.004379,120,True,615.7,0.5,93.6,task_000014,balanced,api_request,0.2055788675893419,2025-11-09T09:37:10.148760
Northern,medium,2.5,1.913354,0.242819,2.156173,70,True,528.2,0.5,93.6,task_000015,balanced,scheduled_job,116.10273343913678,2025-11-09T09:37:43.395617
Eastern,medium,2.5,0.15938,0.017352,0.176732,120,True,615.7,0.5,93.6,task_000016,balanced,data_processing,8.29676822650643,2025-11-09T09:50:50.901067
Northern,medium,2.5,3.843578,0.487779,4.331357,70,True,528.2,0.5,93.6,task_000017,balanced,scheduled_job,233.2291068727083,2025-11-09T09:52:04.256877
Eastern,medium,2.5,0.413683,0.045038,0.458721,120,True,615.7,0.5,93.6,task_000018,balanced,ml_inference,21.534940769705937,2025-11-09T09:55:20.036550
Eastern,medium,2.5,0.267822,0.029158,0.296981,120,True,615.7,0.5,93.6,task_000019,balanced,data_processing,13.941935665203177,2025-11-09T10:00:00.538612
Eastern,medium,2.5,0.003015,0.000328,0.003343,120,True,615.7,0.5,93.6,task_000020,balanced,api_request,0.15692873671845212,2025-11-09T10:00:24.585704
Eastern,medium,2.5,0.001921,0.000209,0.00213,120,True,615.7,0.5,93.6,task_000021,balanced,api_request,0.1,2025-11-09T10:02:10.210773
Northern,medium,2.5,5.18779,0.658369,5.846159,70,True,528.2,0.5,93.6,task_000022,balanced,scheduled_job,314.79613070842555,2025-11-09T10:02:30.842839
Eastern,medium,2.5,0.740329,0.080601,0.82093,120,True,615.7,0.5,93.6,task_000023,balanced,data_processing,38.53902625076744,2025-11-09T10:22:09.527907
Eastern,medium,2.5,0.589497,0.06418,0.653677,120,True,615.7,0.5,93.6,task_000024,balanced,data_processing,30.687239989288408,2025-11-09T10:23:12.240470
Eastern,medium,2.5,0.01921,0.002091,0.021301,120,True,615.7,0.5,93.6,task_000025,balanced,api_request,1.0,2025-11-09T10:23:45.351932
Eastern,medium,2.5,0.310328,0.033786,0.344114,120,True,615.7,0.5,93.6,task_000026,balanced,data_processing,16.154624751175064,2025-11-09T10:24:18.800287
Eastern,medium,2.5,0.01921,0.002091,0.021301,120,True,615.7,0.5,93.6,task_000027,balanced,api_request,1.0,2025-11-09T10:26:36.298401
Eastern,medium,2.5,0.214257,0.023327,0.237583,120,True,615.7,0.5,93.6,task_000028,balanced,ml_inference,11.153486956727885,2025-11-09T10:26:47.102521
Eastern,medium,2.5,0.00375,0.000408,0.004159,120,True,615.7,0.5,93.6,task_000029,balanced,api_request,0.1952243480997806,2025-11-09T10:28:20.607782
Eastern,medium,2.5,0.007841,0.000854,0.008694,120,True,615.7,0.5,93.6,task_000030,balanced,api_request,0.40815183853081194,2025-11-09T10:29:42.011358
Eastern,medium,2.5,0.01921,0.002091,0.021301,120,True,615.7,0.5,93.6,task_000031,balanced,api_request,1.0,2025-11-09T10:33:23.350563
Northern,medium,2.5,2.896812,0.367627,3.264439,70,True,528.2,0.5,93.6,task_000032,balanced,scheduled_job,175.7791481024603,2025-11-09T10:35:58.736304
Northern,medium,2.5,1.047606,0.132949,1.180555,70,True,528.2,0.5,93.6,task_000033,balanced,batch_analytics,63.56892402116511,2025-11-09T10:37:21.725494
Eastern,medium,2.5,0.728097,0.079269,0.807366,120,True,615.7,0.5,93.6,task_000034,balanced,ml_inference,37.902282918020106,2025-11-09T10:38:10.087531
Eastern,medium,2.5,0.337537,0.036748,0.374286,120,True,615.7,0.5,93.6,task_000035,balanced,data_processing,17.571069413925326,2025-11-09T10:39:17.972613
