region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Northern,medium,2.0,0.003533,0.0,0.003533,70,True,533,0.5,93.6,task_000000,baseline,api_request,0.30868455322645505,2025-11-09T09:04:38.057975
Northern,medium,2.0,0.005681,0.0,0.005681,70,True,533,0.5,93.6,task_000001,baseline,api_request,0.496406630836728,2025-11-09T09:07:31.838610
Northern,medium,2.0,0.68666,0.0,0.68666,70,True,533,0.5,93.6,task_000002,baseline,ml_inference,60.0,2025-11-09T09:08:17.548267
Northern,medium,2.0,0.003409,0.0,0.003409,70,True,533,0.5,93.6,task_000003,baseline,api_request,0.2978542058889822,2025-11-09T09:10:53.432398
Northern,medium,2.0,0.030773,0.0,0.030773,70,True,533,0.5,93.6,task_000004,baseline,data_processing,2.688897654185569,2025-11-09T09:13:26.251953
Northern,medium,2.0,0.008589,0.0,0.008589,70,True,533,0.5,93.6,task_000005,baseline,api_request,0.7504997535760622,2025-11-09T09:15:53.101247
Northern,medium,2.0,2.680516,0.0,2.680516,70,True,533,0.5,93.6,task_000006,baseline,scheduled_job,234.22213399708528,2025-11-09T09:17:26.172260
Northern,medium,2.0,3.838832,0.0,3.838832,70,True,533,0.5,93.6,task_000007,baseline,scheduled_job,335.4351875348905,2025-11-09T09:17:27.234929
Northern,medium,2.0,0.001213,0.0,0.001213,70,True,533,0.5,93.6,task_000008,baseline,api_request,0.10600288599708563,2025-11-09T09:26:15.295143
Northern,medium,2.0,0.140159,0.0,0.140159,70,True,533,0.5,93.6,task_000009,baseline,ml_inference,12.247004567450363,2025-11-09T09:27:38.212718
Northern,medium,2.0,4.796222,0.0,4.796222,70,True,533,0.5,93.6,task_000010,baseline,batch_analytics,419.0914381421423,2025-11-09T09:30:09.644633
Northern,medium,2.0,0.001552,0.0,0.001552,70,True,533,0.5,93.6,task_000011,baseline,api_request,0.1356491085108486,2025-11-09T09:34:02.373834
Northern,medium,2.0,0.310804,0.0,0.310804,70,True,533,0.5,93.6,task_000012,baseline,data_processing,27.157887227474504,2025-11-09T09:34:50.168400
Northern,medium,2.0,0.207993,0.0,0.207993,70,True,533,0.5,93.6,task_000013,baseline,data_processing,18.17433325513897,2025-11-09T09:36:55.474486
Northern,medium,2.0,0.002353,0.0,0.002353,70,True,533,0.5,93.6,task_000014,baseline,api_request,0.2055788675893419,2025-11-09T09:37:10.148760
Northern,medium,2.0,1.328718,0.0,1.328718,70,True,533,0.5,93.6,task_000015,baseline,scheduled_job,116.10273343913678,2025-11-09T09:37:43.395617
Northern,medium,2.0,0.094951,0.0,0.094951,70,True,533,0.5,93.6,task_000016,baseline,data_processing,8.29676822650643,2025-11-09T09:50:50.901067
Northern,medium,2.0,2.669152,0.0,2.669152,70,True,533,0.5,93.6,task_000017,baseline,scheduled_job,233.2291068727083,2025-11-09T09:52:04.256877
Northern,medium,2.0,0.246453,0.0,0.246453,70,True,533,0.5,93.6,task_000018,baseline,ml_inference,21.534940769705937,2025-11-09T09:55:20.036550
Northern,medium,2.0,0.159556,0.0,0.159556,70,True,533,0.5,93.6,task_000019,baseline,data_processing,13.941935665203177,2025-11-09T10:00:00.538612
Northern,medium,2.0,0.001796,0.0,0.001796,70,True,533,0.5,93.6,task_000020,baseline,api_request,0.15692873671845212,2025-11-09T10:00:24.585704
Northern,medium,2.0,0.001144,0.0,0.001144,70,True,533,0.5,93.6,task_000021,baseline,api_request,0.1,2025-11-09T10:02:10.210773
Northern,medium,2.0,3.602632,0.0,3.602632,70,True,533,0.5,93.6,task_000022,baseline,scheduled_job,314.79613070842555,2025-11-09T10:02:30.842839
Northern,medium,2.0,0.441053,0.0,0.441053,70,True,533,0.5,93.6,task_000023,baseline,data_processing,38.53902625076744,2025-11-09T10:22:09.527907
Northern,medium,2.0,0.351195,0.0,0.351195,70,True,533,0.5,93.6,task_000024,baseline,data_processing,30.687239989288408,2025-11-09T10:23:12.240470
Northern,medium,2.0,0.011444,0.0,0.011444,70,True,533,0.5,93.6,task_000025,baseline,api_request,1.0,2025-11-09T10:23:45.351932
