region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Eastern,old,4.0,0.00797,0.000258,0.008228,120,True,615.7,0.2,125.8,task_000000,embodied_prioritized,api_request,0.30868455322645505,2025-11-09T09:04:38.057975
Eastern,old,4.0,0.012816,0.000415,0.013232,120,True,615.7,0.2,125.8,task_000001,embodied_prioritized,api_request,0.496406630836728,2025-11-09T09:07:31.838610
Northern,old,4.0,1.328951,0.050194,1.379145,70,True,528.2,0.2,125.8,task_000002,embodied_prioritized,ml_inference,60.0,2025-11-09T09:08:17.548267
Eastern,old,4.0,0.00769,0.000249,0.007939,120,True,615.7,0.2,125.8,task_000003,embodied_prioritized,api_request,0.2978542058889822,2025-11-09T09:10:53.432398
Eastern,old,4.0,0.069423,0.002249,0.071672,120,True,615.7,0.2,125.8,task_000004,embodied_prioritized,data_processing,2.688897654185569,2025-11-09T09:13:26.251953
Eastern,old,4.0,0.019377,0.000628,0.020005,120,True,615.7,0.2,125.8,task_000005,embodied_prioritized,api_request,0.7504997535760622,2025-11-09T09:15:53.101247
Northern,old,4.0,5.18783,0.195942,5.383772,70,True,528.2,0.2,125.8,task_000006,embodied_prioritized,scheduled_job,234.22213399708528,2025-11-09T09:17:26.172260
Northern,old,4.0,7.429617,0.280614,7.71023,70,True,528.2,0.2,125.8,task_000007,embodied_prioritized,scheduled_job,335.4351875348905,2025-11-09T09:17:27.234929
Eastern,old,4.0,0.002737,8.9e-05,0.002825,120,True,615.7,0.2,125.8,task_000008,embodied_prioritized,api_request,0.10600288599708563,2025-11-09T09:26:15.295143
Eastern,old,4.0,0.316197,0.010245,0.326443,120,True,615.7,0.2,125.8,task_000009,embodied_prioritized,ml_inference,12.247004567450363,2025-11-09T09:27:38.212718
Northern,old,4.0,9.282534,0.350597,9.633132,70,True,528.2,0.2,125.8,task_000010,embodied_prioritized,batch_analytics,419.0914381421423,2025-11-09T09:30:09.644633
