region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Eastern,new,0.5,0.004365,0.002324,0.006689,120,True,615.7,0.9,68.9,task_000000,operational_only,api_request,0.30868455322645505,2025-11-09T09:04:38.057975
Eastern,new,0.5,0.007019,0.003737,0.010757,120,True,615.7,0.9,68.9,task_000001,operational_only,api_request,0.496406630836728,2025-11-09T09:07:31.838610
Northern,new,0.5,0.72786,0.451745,1.179605,70,True,528.2,0.9,68.9,task_000002,operational_only,ml_inference,60.0,2025-11-09T09:08:17.548267
Eastern,new,0.5,0.004212,0.002243,0.006454,120,True,615.7,0.9,68.9,task_000003,operational_only,api_request,0.2978542058889822,2025-11-09T09:10:53.432398
Eastern,new,0.5,0.038023,0.020245,0.058268,120,True,615.7,0.9,68.9,task_000004,operational_only,data_processing,2.688897654185569,2025-11-09T09:13:26.251953
Eastern,new,0.5,0.010612,0.005651,0.016263,120,True,615.7,0.9,68.9,task_000005,operational_only,api_request,0.7504997535760622,2025-11-09T09:15:53.101247
Northern,new,0.5,2.841347,1.763479,4.604827,70,True,528.2,0.9,68.9,task_000006,operational_only,scheduled_job,234.22213399708528,2025-11-09T09:17:26.172260
Northern,new,0.5,4.069162,2.525522,6.594684,70,True,528.2,0.9,68.9,task_000007,operational_only,scheduled_job,335.4351875348905,2025-11-09T09:17:27.234929
Eastern,new,0.5,0.001499,0.000798,0.002297,120,True,615.7,0.9,68.9,task_000008,operational_only,api_request,0.10600288599708563,2025-11-09T09:26:15.295143
Eastern,new,0.5,0.17318,0.092209,0.265389,120,True,615.7,0.9,68.9,task_000009,operational_only,ml_inference,12.247004567450363,2025-11-09T09:27:38.212718
Northern,new,0.5,5.083995,3.155377,8.239372,70,True,528.2,0.9,68.9,task_000010,operational_only,batch_analytics,419.0914381421423,2025-11-09T09:30:09.644633
Eastern,new,0.5,0.001918,0.001021,0.002939,120,True,615.7,0.9,68.9,task_000011,operational_only,api_request,0.1356491085108486,2025-11-09T09:34:02.373834
Eastern,new,0.5,0.384028,0.204474,0.588502,120,True,615.7,0.9,68.9,task_000012,operational_only,data_processing,27.157887227474504,2025-11-09T09:34:50.168400
Eastern,new,0.5,0.256996,0.136836,0.393832,120,True,615.7,0.9,68.9,task_000013,operational_only,data_processing,18.17433325513897,2025-11-09T09:36:55.474486
Eastern,new,0.5,0.002907,0.001548,0.004455,120,True,615.7,0.9,68.9,task_000014,operational_only,api_request,0.2055788675893419,2025-11-09T09:37:10.148760
Northern,new,0.5,1.408441,0.874148,2.282589,70,True,528.2,0.9,68.9,task_000015,operational_only,scheduled_job,116.10273343913678,2025-11-09T09:37:43.395617
Eastern,new,0.5,0.117321,0.062467,0.179788,120,True,615.7,0.9,68.9,task_000016,operational_only,data_processing,8.29676822650643,2025-11-09T09:50:50.901067
Northern,new,0.5,2.829301,1.756003,4.585304,70,True,528.2,0.9,68.9,task_000017,operational_only,scheduled_job,233.2291068727083,2025-11-09T09:52:04.256877
