region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Eastern,medium,2.0,0.005003,0.0,0.005003,120,True,748,0.5,93.6,task_000000,predictive_lr,api_request,0.30868455322645505,2025-11-09T09:04:38.057975
Eastern,medium,2.0,0.008045,0.0,0.008045,120,True,748,0.5,93.6,task_000001,predictive_lr,api_request,0.496406630836728,2025-11-09T09:07:31.838610
Northern,medium,2.0,0.6929,0.0,0.6929,70,True,533,0.5,93.6,task_000002,predictive_lr,ml_inference,60.0,2025-11-09T09:08:17.548267
Eastern,medium,2.0,0.004827,0.0,0.004827,120,True,748,0.5,93.6,task_000003,predictive_lr,api_request,0.2978542058889822,2025-11-09T09:10:53.432398
Eastern,medium,2.0,0.043578,0.0,0.043578,120,True,748,0.5,93.6,task_000004,predictive_lr,data_processing,2.688897654185569,2025-11-09T09:13:26.251953
Eastern,medium,2.0,0.012163,0.0,0.012163,120,True,748,0.5,93.6,task_000005,predictive_lr,api_request,0.7504997535760622,2025-11-09T09:15:53.101247
Northern,medium,2.0,2.704875,0.0,2.704875,70,True,533,0.5,93.6,task_000006,predictive_lr,scheduled_job,234.22213399708528,2025-11-09T09:17:26.172260
Northern,medium,2.0,3.873717,0.0,3.873717,70,True,533,0.5,93.6,task_000007,predictive_lr,scheduled_job,335.4351875348905,2025-11-09T09:17:27.234929
Eastern,medium,2.0,0.001718,0.0,0.001718,120,True,748,0.5,93.6,task_000008,predictive_lr,api_request,0.10600288599708563,2025-11-09T09:26:15.295143
Eastern,medium,2.0,0.198483,0.0,0.198483,120,True,748,0.5,93.6,task_000009,predictive_lr,ml_inference,12.247004567450363,2025-11-09T09:27:38.212718
Northern,medium,2.0,4.839808,0.0,4.839808,70,True,533,0.5,93.6,task_000010,predictive_lr,batch_analytics,419.0914381421423,2025-11-09T09:30:09.644633
Eastern,medium,2.0,0.002198,0.0,0.002198,120,True,748,0.5,93.6,task_000011,predictive_lr,api_request,0.1356491085108486,2025-11-09T09:34:02.373834
Northern,medium,2.0,0.313628,0.0,0.313628,70,True,533,0.5,93.6,task_000012,predictive_lr,data_processing,27.157887227474504,2025-11-09T09:34:50.168400
Northern,medium,2.0,0.209883,0.0,0.209883,70,True,533,0.5,93.6,task_000013,predictive_lr,data_processing,18.17433325513897,2025-11-09T09:36:55.474486
Eastern,medium,2.0,0.003332,0.0,0.003332,120,True,748,0.5,93.6,task_000014,predictive_lr,api_request,0.2055788675893419,2025-11-09T09:37:10.148760
