region,server_age,server_age_years,operational_co2_g,embodied_co2_g,total_co2_g,latency_ms,sla_met,carbon_intensity,carbon_debt_ratio,power_w,task_id,strategy,workload_type,duration_seconds,execution_time
Eastern,medium,2.0,0.004118,0.0,0.004118,120,True,748,0.5,93.6,task_000000,reactive,api_request,0.30868455322645505,2025-11-09T09:04:38.057975
Eastern,medium,2.0,0.006622,0.0,0.006622,120,True,748,0.5,93.6,task_000001,reactive,api_request,0.496406630836728,2025-11-09T09:07:31.838610
Northern,medium,2.0,0.68666,0.0,0.68666,70,True,533,0.5,93.6,task_000002,reactive,ml_inference,60.0,2025-11-09T09:08:17.548267
Eastern,medium,2.0,0.003973,0.0,0.003973,120,True,748,0.5,93.6,task_000003,reactive,api_request,0.2978542058889822,2025-11-09T09:10:53.432398
Eastern,medium,2.0,0.03587,0.0,0.03587,120,True,748,0.5,93.6,task_000004,reactive,data_processing,2.688897654185569,2025-11-09T09:13:26.251953
Eastern,medium,2.0,0.010012,0.0,0.010012,120,True,748,0.5,93.6,task_000005,reactive,api_request,0.7504997535760622,2025-11-09T09:15:53.101247
Northern,medium,2.0,2.680516,0.0,2.680516,70,True,533,0.5,93.6,task_000006,reactive,scheduled_job,234.22213399708528,2025-11-09T09:17:26.172260
Northern,medium,2.0,3.838832,0.0,3.838832,70,True,533,0.5,93.6,task_000007,reactive,scheduled_job,335.4351875348905,2025-11-09T09:17:27.234929
Eastern,medium,2.0,0.001414,0.0,0.001414,120,True,748,0.5,93.6,task_000008,reactive,api_request,0.10600288599708563,2025-11-09T09:26:15.295143
Eastern,medium,2.0,0.163377,0.0,0.163377,120,True,748,0.5,93.6,task_000009,reactive,ml_inference,12.247004567450363,2025-11-09T09:27:38.212718
Northern,medium,2.0,4.796222,0.0,4.796222,70,True,533,0.5,93.6,task_000010,reactive,batch_analytics,419.0914381421423,2025-11-09T09:30:09.644633
Eastern,medium,2.0,0.00181,0.0,0.00181,120,True,748,0.5,93.6,task_000011,reactive,api_request,0.1356491085108486,2025-11-09T09:34:02.373834
Eastern,medium,2.0,0.362291,0.0,0.362291,120,True,748,0.5,93.6,task_000012,reactive,data_processing,27.157887227474504,2025-11-09T09:34:50.168400
Eastern,medium,2.0,0.242449,0.0,0.242449,120,True,748,0.5,93.6,task_000013,reactive,data_processing,18.17433325513897,2025-11-09T09:36:55.474486
Eastern,medium,2.0,0.002742,0.0,0.002742,120,True,748,0.5,93.6,task_000014,reactive,api_request,0.2055788675893419,2025-11-09T09:37:10.148760
Northern,medium,2.0,1.328718,0.0,1.328718,70,True,533,0.5,93.6,task_000015,reactive,scheduled_job,116.10273343913678,2025-11-09T09:37:43.395617
Eastern,medium,2.0,0.11068,0.0,0.11068,120,True,748,0.5,93.6,task_000016,reactive,data_processing,8.29676822650643,2025-11-09T09:50:50.901067
Northern,medium,2.0,2.669152,0.0,2.669152,70,True,533,0.5,93.6,task_000017,reactive,scheduled_job,233.2291068727083,2025-11-09T09:52:04.256877
Eastern,medium,2.0,0.28728,0.0,0.28728,120,True,748,0.5,93.6,task_000018,reactive,ml_inference,21.534940769705937,2025-11-09T09:55:20.036550
Eastern,medium,2.0,0.185988,0.0,0.185988,120,True,748,0.5,93.6,task_000019,reactive,data_processing,13.941935665203177,2025-11-09T10:00:00.538612
Eastern,medium,2.0,0.002093,0.0,0.002093,120,True,748,0.5,93.6,task_000020,reactive,api_request,0.15692873671845212,2025-11-09T10:00:24.585704
Eastern,medium,2.0,0.001334,0.0,0.001334,120,True,748,0.5,93.6,task_000021,reactive,api_request,0.1,2025-11-09T10:02:10.210773
Northern,medium,2.0,3.602632,0.0,3.602632,70,True,533,0.5,93.6,task_000022,reactive,scheduled_job,314.79613070842555,2025-11-09T10:02:30.842839
Northern,medium,2.0,0.441053,0.0,0.441053,70,True,533,0.5,93.6,task_000023,reactive,data_processing,38.53902625076744,2025-11-09T10:22:09.527907
Northern,medium,2.0,0.351195,0.0,0.351195,70,True,533,0.5,93.6,task_000024,reactive,data_processing,30.687239989288408,2025-11-09T10:23:12.240470
Eastern,medium,2.0,0.01334,0.0,0.01334,120,True,748,0.5,93.6,task_000025,reactive,api_request,1.0,2025-11-09T10:23:45.351932
Eastern,medium,2.0,0.215505,0.0,0.215505,120,True,748,0.5,93.6,task_000026,reactive,data_processing,16.154624751175064,2025-11-09T10:24:18.800287
Eastern,medium,2.0,0.01334,0.0,0.01334,120,True,748,0.5,93.6,task_000027,reactive,api_request,1.0,2025-11-09T10:26:36.298401
Eastern,medium,2.0,0.148789,0.0,0.148789,120,True,748,0.5,93.6,task_000028,reactive,ml_inference,11.153486956727885,2025-11-09T10:26:47.102521
Eastern,medium,2.0,0.002604,0.0,0.002604,120,True,748,0.5,93.6,task_000029,reactive,api_request,0.1952243480997806,2025-11-09T10:28:20.607782
Eastern,medium,2.0,0.005445,0.0,0.005445,120,True,748,0.5,93.6,task_000030,reactive,api_request,0.40815183853081194,2025-11-09T10:29:42.011358
Eastern,medium,2.0,0.01334,0.0,0.01334,120,True,748,0.5,93.6,task_000031,reactive,api_request,1.0,2025-11-09T10:33:23.350563
Northern,medium,2.0,2.011675,0.0,2.011675,70,True,533,0.5,93.6,task_000032,reactive,scheduled_job,175.7791481024603,2025-11-09T10:35:58.736304
Northern,medium,2.0,0.727504,0.0,0.727504,70,True,533,0.5,93.6,task_000033,reactive,batch_analytics,63.56892402116511,2025-11-09T10:37:21.725494
Northern,medium,2.0,0.433766,0.0,0.433766,70,True,533,0.5,93.6,task_000034,reactive,ml_inference,37.902282918020106,2025-11-09T10:38:10.087531
Eastern,medium,2.0,0.234401,0.0,0.234401,120,True,748,0.5,93.6,task_000035,reactive,data_processing,17.571069413925326,2025-11-09T10:39:17.972613
Eastern,medium,2.0,0.316811,0.0,0.316811,120,True,748,0.5,93.6,task_000036,reactive,data_processing,23.74865388986952,2025-11-09T10:39:58.220013
Eastern,medium,2.0,0.136711,0.0,0.136711,120,True,748,0.5,93.6,task_000037,reactive,ml_inference,10.248083205796497,2025-11-09T10:42:36.581279
Eastern,medium,2.0,0.005404,0.0,0.005404,120,True,748,0.5,93.6,task_000038,reactive,api_request,0.4050940790448908,2025-11-09T10:43:48.086630
Eastern,medium,2.0,0.001562,0.0,0.001562,120,True,748,0.5,93.6,task_000039,reactive,api_request,0.11708271174009718,2025-11-09T10:45:24.127814
Northern,medium,2.0,0.68666,0.0,0.68666,70,True,533,0.5,93.6,task_000040,reactive,ml_inference,60.0,2025-11-09T10:50:57.835317
Northern,medium,2.0,0.507784,0.0,0.507784,70,True,533,0.5,93.6,task_000041,reactive,ml_inference,44.36992949796479,2025-11-09T10:54:21.833481
Eastern,medium,2.0,0.005211,0.0,0.005211,120,True,748,0.5,93.6,task_000042,reactive,api_request,0.39064038841619675,2025-11-09T10:54:51.111840
Eastern,medium,2.0,0.009764,0.0,0.009764,120,True,748,0.5,93.6,task_000043,reactive,api_request,0.7319571293145478,2025-11-09T10:56:03.970789
Eastern,medium,2.0,0.149077,0.0,0.149077,120,True,748,0.5,93.6,task_000044,reactive,data_processing,11.17505048325407,2025-11-09T10:56:31.426056
