ci_value,strategy,task_id,region,server_age,duration_s,total_carbon_g,timestamp
175.0,operational_only,0,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802272
175.0,operational_only,1,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802280
175.0,operational_only,2,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802282
175.0,operational_only,3,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802283
175.0,operational_only,4,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802284
175.0,operational_only,5,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802285
175.0,operational_only,6,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802286
175.0,operational_only,7,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802287
175.0,operational_only,8,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802288
175.0,operational_only,9,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802288
175.0,operational_only,10,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802289
175.0,operational_only,11,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802290
175.0,operational_only,12,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802291
175.0,operational_only,13,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802292
175.0,operational_only,14,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802292
175.0,operational_only,15,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802293
175.0,operational_only,16,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802294
175.0,operational_only,17,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802295
175.0,operational_only,18,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802296
175.0,operational_only,19,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802296
175.0,operational_only,20,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802297
175.0,operational_only,21,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802298
175.0,operational_only,22,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802299
175.0,operational_only,23,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802300
175.0,operational_only,24,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802300
175.0,operational_only,25,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802301
175.0,operational_only,26,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802302
175.0,operational_only,27,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802303
175.0,operational_only,28,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802304
175.0,operational_only,29,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802304
175.0,operational_only,30,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802305
175.0,operational_only,31,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802306
175.0,operational_only,32,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802307
175.0,operational_only,33,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802308
175.0,operational_only,34,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802308
175.0,operational_only,35,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802309
175.0,operational_only,36,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802310
175.0,operational_only,37,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802311
175.0,operational_only,38,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802312
175.0,operational_only,39,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802312
175.0,operational_only,40,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802313
175.0,operational_only,41,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802314
175.0,operational_only,42,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802315
175.0,operational_only,43,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802316
175.0,operational_only,44,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802316
175.0,operational_only,45,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802317
175.0,operational_only,46,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802318
175.0,operational_only,47,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802319
175.0,operational_only,48,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802320
175.0,operational_only,49,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802321
175.0,operational_only,50,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802322
175.0,operational_only,51,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802323
175.0,operational_only,52,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802323
175.0,operational_only,53,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802324
175.0,operational_only,54,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802325
175.0,operational_only,55,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802326
175.0,operational_only,56,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802327
175.0,operational_only,57,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802328
175.0,operational_only,58,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802328
175.0,operational_only,59,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802329
175.0,operational_only,60,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802330
175.0,operational_only,61,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802331
175.0,operational_only,62,Northern,new,14400.0,112.08544558521561,2025-11-09T22:09:36.802331
